"","accuracy","heading","latitude","longitude","speed","timestamp"
"181",3.9,93,39.9882238,-83.0339093,2.36,1516231992
"182",3.9,93,39.9882236,-83.0338904,1.54,1516231993
"183",3.9,93,39.9882223,-83.0338779,0.74,1516231994
"184",3.9,0,39.9882252,-83.0338803,0,1516231995
"185",3.9,0,39.9882287,-83.0338827,0,1516231996
"186",3.9,0,39.988231,-83.0338819,0,1516231997
"187",3.9,0,39.9882328,-83.03388,0,1516231998
"188",3.9,0,39.9882345,-83.0338783,0,1516231999
"189",3.9,93,39.9882375,-83.0338736,0.17,1516232000
"190",3.9,0,39.9882425,-83.0338786,0,1516232001
"191",3.9,92,39.9882429,-83.0338718,0.2,1516232002
"192",3.9,92,39.9882429,-83.033864,0.58,1516232003
"193",3.9,92,39.9882431,-83.0338508,1.13,1516232004
"194",3.9,93,39.9882407,-83.0338327,1.58,1516232005
"195",3.9,93,39.988239,-83.0338077,2.45,1516232006
"196",3.9,93,39.9882372,-83.0337729,3.32,1516232007
"197",3.9,93,39.9882347,-83.0337345,3.28,1516232008
"198",3.9,94,39.9882322,-83.0336953,3.51,1516232009
"199",3.9,93,39.9882299,-83.0336532,3.7,1516232010
"200",3.9,94,39.988227,-83.0336098,3.72,1516232011
"201",3.9,94,39.9882238,-83.033567,3.6,1516232012
"202",3,94,39.9882209,-83.0335267,3.35,1516232013
"203",3.9,94,39.9882181,-83.0334805,4.46,1516232014
"204",3.9,93,39.9882148,-83.0334014,5.9,1516232015
"205",3.9,93,39.9882069,-83.0333249,6.23,1516232016
"206",3.9,93,39.9882009,-83.0332472,6.42,1516232017
"207",3.9,93,39.9881995,-83.0331778,6.84,1516232018
"208",3.9,94,39.988191,-83.0331052,6.61,1516232019
"209",3.9,94,39.9881855,-83.0330264,6.62,1516232020
"210",3.9,94,39.9881821,-83.0329512,6.51,1516232021
"211",3.9,95,39.9881782,-83.0328773,6.39,1516232022
"212",3.9,94,39.988174,-83.0328071,5.93,1516232023
"213",3.9,94,39.9881699,-83.0327493,4.95,1516232024
"214",3.9,94,39.9881643,-83.0326988,4.78,1516232025
"215",3.9,94,39.9881593,-83.0326572,3.61,1516232026
"216",3.9,94,39.9881573,-83.0326383,2.38,1516232027
"217",3.9,94,39.9881591,-83.0326215,1.75,1516232028
"218",3,94,39.9881578,-83.032601,1.75,1516232029
"219",3.9,94,39.9881593,-83.0325791,1.39,1516232030
"220",3.9,94,39.9881572,-83.0325667,1.53,1516232031
"221",3.9,94,39.9881569,-83.0325463,1.28,1516232032
"222",3.9,94,39.9881561,-83.0325313,1.28,1516232033
"223",3.9,94,39.9881559,-83.0325156,0.91,1516232034
"224",3.9,94,39.988154,-83.0325074,0.29,1516232035
"225",3,94,39.9881527,-83.0325036,0.29,1516232036
